"kodeWilayah";"nama";"idLevelWilayah";"mstKodeWilayah";"indukProvinsi";"kodeWilayahIndukProvinsi";"indukKabupaten";"kodeWilayahIndukKabupaten"
"050000";Prov. Jawa Timur;1;"";"";"";"";""
"020000";Prov. Jawa Barat;1;"";"";"";"";""
"030000";Prov. Jawa Tengah;1;"";"";"";"";""
"070000";Prov. Sumatera Utara;1;"";"";"";"";""
"190000";Prov. Sulawesi Selatan;1;"";"";"";"";""
"280000";Prov. Banten;1;"";"";"";"";""
"240000";Prov. Nusa Tenggara Timur;1;"";"";"";"";""
"120000";Prov. Lampung;1;"";"";"";"";""
"110000";Prov. Sumatera Selatan;1;"";"";"";"";""
"060000";Prov. Aceh;1;"";"";"";"";""
"090000";Prov. Riau;1;"";"";"";"";""
"080000";Prov. Sumatera Barat;1;"";"";"";"";""
"230000";Prov. Nusa Tenggara Barat;1;"";"";"";"";""
"130000";Prov. Kalimantan Barat;1;"";"";"";"";""
"010000";Prov. D.K.I. Jakarta;1;"";"";"";"";""
"150000";Prov. Kalimantan Selatan;1;"";"";"";"";""
"180000";Prov. Sulawesi Tengah;1;"";"";"";"";""
"040000";Prov. D.I. Yogyakarta;1;"";"";"";"";""
"100000";Prov. Jambi;1;"";"";"";"";""
"140000";Prov. Kalimantan Tengah;1;"";"";"";"";""
"200000";Prov. Sulawesi Tenggara;1;"";"";"";"";""
"170000";Prov. Sulawesi Utara;1;"";"";"";"";""
"160000";Prov. Kalimantan Timur;1;"";"";"";"";""
"220000";Prov. Bali;1;"";"";"";"";""
"210000";Prov. Maluku;1;"";"";"";"";""
"260000";Prov. Bengkulu;1;"";"";"";"";""
"270000";Prov. Maluku Utara;1;"";"";"";"";""
"330000";Prov. Sulawesi Barat;1;"";"";"";"";""
"300000";Prov. Gorontalo;1;"";"";"";"";""
"310000";Prov. Kepulauan Riau;1;"";"";"";"";""
"290000";Prov. Kepulauan Bangka Belitung;1;"";"";"";"";""
"250000";Prov. Papua;1;"";"";"";"";""
"340000";Prov. Kalimantan Utara;1;"";"";"";"";""
"380000";Prov. Papua Pegunungan;1;"";"";"";"";""
"320000";Prov. Papua Barat;1;"";"";"";"";""
"360000";Prov. Papua Tengah;1;"";"";"";"";""
"390000";Prov. Papua Barat Daya;1;"";"";"";"";""
"370000";Prov. Papua Selatan;1;"";"";"";"";""
"350000";Luar Negeri;1;"";"";"";"";""
"016400";Kota Jakarta Timur;2;"010000";Prov. D.K.I. Jakarta;"010000";"";""
"016200";Kota Jakarta Barat;2;"010000";Prov. D.K.I. Jakarta;"010000";"";""
"016300";Kota Jakarta Selatan;2;"010000";Prov. D.K.I. Jakarta;"010000";"";""
"016100";Kota Jakarta Utara;2;"010000";Prov. D.K.I. Jakarta;"010000";"";""
"016000";Kota Jakarta Pusat;2;"010000";Prov. D.K.I. Jakarta;"010000";"";""
"010100";Kab. Kepulauan Seribu;2;"010000";Prov. D.K.I. Jakarta;"010000";"";""
"020500";Kab. Bogor;2;"020000";Prov. Jawa Barat;"020000";"";""
"021100";Kab. Garut;2;"020000";Prov. Jawa Barat;"020000";"";""
"020600";Kab. Sukabumi;2;"020000";Prov. Jawa Barat;"020000";"";""
"020700";Kab. Cianjur;2;"020000";Prov. Jawa Barat;"020000";"";""
"020800";Kab. Bandung;2;"020000";Prov. Jawa Barat;"020000";"";""
"022200";Kab. Bekasi;2;"020000";Prov. Jawa Barat;"020000";"";""
"021200";Kab. Tasikmalaya;2;"020000";Prov. Jawa Barat;"020000";"";""
"022100";Kab. Karawang;2;"020000";Prov. Jawa Barat;"020000";"";""
"026500";Kota Bekasi;2;"020000";Prov. Jawa Barat;"020000";"";""
"021800";Kab. Indramayu;2;"020000";Prov. Jawa Barat;"020000";"";""
"026000";Kota Bandung;2;"020000";Prov. Jawa Barat;"020000";"";""
"021900";Kab. Subang;2;"020000";Prov. Jawa Barat;"020000";"";""
"021700";Kab. Cirebon;2;"020000";Prov. Jawa Barat;"020000";"";""
"022300";Kab. Bandung Barat;2;"020000";Prov. Jawa Barat;"020000";"";""
"021400";Kab. Ciamis;2;"020000";Prov. Jawa Barat;"020000";"";""
"026600";Kota Depok;2;"020000";Prov. Jawa Barat;"020000";"";""
"021000";Kab. Sumedang;2;"020000";Prov. Jawa Barat;"020000";"";""
"021500";Kab. Kuningan;2;"020000";Prov. Jawa Barat;"020000";"";""
"021600";Kab. Majalengka;2;"020000";Prov. Jawa Barat;"020000";"";""
"022000";Kab. Purwakarta;2;"020000";Prov. Jawa Barat;"020000";"";""
"026100";Kota Bogor;2;"020000";Prov. Jawa Barat;"020000";"";""
"026800";Kota Tasikmalaya;2;"020000";Prov. Jawa Barat;"020000";"";""
"022500";Kab. Pangandaran;2;"020000";Prov. Jawa Barat;"020000";"";""
"026700";Kota Cimahi;2;"020000";Prov. Jawa Barat;"020000";"";""
"026300";Kota Cirebon;2;"020000";Prov. Jawa Barat;"020000";"";""
"026200";Kota Sukabumi;2;"020000";Prov. Jawa Barat;"020000";"";""
